     Summary [  37.185s] 2563 tests run: 2297 passed (1 leaky), 266 failed, 1 skipped
        FAIL [   0.293s] gix remote::connection::fetch::refs::tests::update::checked_out_branches_in_worktrees_are_rejected_with_additional_information
        FAIL [   0.264s] gix remote::connection::fetch::refs::tests::update::fast_forwards_are_called_out_even_if_force_is_given
        FAIL [   0.437s] gix remote::connection::fetch::refs::tests::update::local_direct_refs_are_written_with_symbolic_ones
        FAIL [   0.223s] gix remote::connection::fetch::refs::tests::update::local_symbolic_refs_can_be_overwritten
        FAIL [   0.307s] gix remote::connection::fetch::refs::tests::update::non_fast_forward_is_rejected_but_appears_to_be_fast_forward_in_dryrun_mode
        FAIL [   0.187s] gix remote::connection::fetch::refs::tests::update::non_fast_forward_is_rejected_if_dry_run_is_disabled
        FAIL [   0.354s] gix remote::connection::fetch::refs::tests::update::remote_refs_cannot_map_to_local_head
        FAIL [   0.246s] gix remote::connection::fetch::refs::tests::update::remote_symbolic_refs_can_always_be_set_as_there_is_no_scenario_where_it_could_be_nonexisting_and_rejected
        FAIL [   0.207s] gix remote::connection::fetch::refs::tests::update::remote_symbolic_refs_can_be_written_locally_and_point_to_tracking_branch
        FAIL [   0.077s] gix remote::connection::fetch::refs::tests::update::remote_symbolic_refs_with_locally_unavailable_target_dont_overwrite_valid_local_branches
        FAIL [   0.098s] gix remote::connection::fetch::refs::tests::update::remote_symbolic_refs_with_locally_unavailable_target_result_in_valid_peeled_branches
        FAIL [   0.158s] gix remote::connection::fetch::refs::tests::update::unborn_remote_branches_can_be_created_locally_if_they_are_new
        FAIL [   0.156s] gix remote::connection::fetch::refs::tests::update::unborn_remote_branches_can_update_local_unborn_branches
        FAIL [   0.201s] gix remote::connection::fetch::refs::tests::update::unborn_remote_refs_dont_overwrite_valid_local_refs
        FAIL [   0.202s] gix remote::connection::fetch::refs::tests::update::various_valid_updates
        FAIL [   0.038s] gix-archive::archive from_tree::basic_usage_internal
        FAIL [   0.037s] gix-archive::archive from_tree::basic_usage_tar
        FAIL [   0.040s] gix-archive::archive from_tree::basic_usage_tar_gz
        FAIL [   0.040s] gix-archive::archive from_tree::basic_usage_zip
        FAIL [   0.036s] gix-attributes::attributes search::all_attributes_are_listed_in_declaration_order
        FAIL [   0.043s] gix-attributes::attributes search::baseline
        FAIL [   0.039s] gix-attributes::attributes search::given_attributes_are_made_available_in_given_order
        FAIL [   0.041s] gix-blame::blame it_works
        FAIL [   0.039s] gix-command tests::internal_win_path_lookup
        FAIL [   0.049s] gix-command::command extract_interpreter
        FAIL [   0.201s] gix-config-tests::config file::init::comfort::from_git_dir
        FAIL [   0.040s] gix-dir::dir walk::cancel_with_collection_does_not_fail
        FAIL [   0.127s] gix-dir::dir walk::complex_empty
        FAIL [   0.112s] gix-dir::dir walk::empty_and_nested_untracked
        FAIL [   0.114s] gix-dir::dir walk::empty_root
        FAIL [   0.112s] gix-dir::dir walk::expendable_and_precious
        FAIL [   0.081s] gix-dir::dir walk::expendable_and_precious_in_ignored_dir_with_pathspec
        FAIL [   0.022s] gix-dir::dir walk::file_root_is_shown_if_pathspec_matches_exactly
        FAIL [   0.073s] gix-dir::dir walk::ignored_dir_with_cwd_handling
        FAIL [   0.076s] gix-dir::dir walk::ignored_sub_repo
        FAIL [   0.079s] gix-dir::dir walk::ignored_with_cwd_handling
        FAIL [   0.044s] gix-dir::dir walk::ignored_with_prefix_pathspec_collapses_just_like_untracked
        FAIL [   0.055s] gix-dir::dir walk::in_repo_hidden_worktree
        FAIL [   0.079s] gix-dir::dir walk::in_repo_worktree
        FAIL [   0.085s] gix-dir::dir walk::nested_bare_repos_in_ignored_directories
        FAIL [   0.084s] gix-dir::dir walk::nested_ignored_dirs_for_deletion_nonmatching_wildcard_spec
        FAIL [   0.080s] gix-dir::dir walk::nested_precious_repo_respects_wildcards
        FAIL [   0.082s] gix-dir::dir walk::nested_repos_in_ignored_directories
        FAIL [   0.082s] gix-dir::dir walk::nested_repos_in_untracked_directories
        FAIL [   0.071s] gix-dir::dir walk::one_ignored_submodule
        FAIL [   0.051s] gix-dir::dir walk::only_untracked
        FAIL [   0.065s] gix-dir::dir walk::only_untracked_explicit_pathspec_selection
        FAIL [   0.080s] gix-dir::dir walk::only_untracked_from_subdir
        FAIL [   0.075s] gix-dir::dir walk::only_untracked_with_cwd_handling
        FAIL [   0.074s] gix-dir::dir walk::only_untracked_with_pathspec
        FAIL [   0.071s] gix-dir::dir walk::only_untracked_with_prefix_deletion
        FAIL [   0.007s] gix-dir::dir walk::partial_checkout_cone_and_non_one
        FAIL [   0.072s] gix-dir::dir walk::precious_are_not_expendable
        FAIL [   0.012s] gix-dir::dir walk::root_at_submodule_repository_allows_walk
        FAIL [   0.011s] gix-dir::dir walk::root_can_be_pruned_early_with_pathspec
        FAIL [   0.063s] gix-dir::dir walk::root_cannot_pass_through_case_altered_capital_dot_git_if_case_insensitive
        FAIL [   0.010s] gix-dir::dir walk::root_enters_directory_with_dot_git_in_reconfigured_worktree_tracked
